,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
2529,1039140787,1yvonnenelson,Yvonne nelsonBLOG,2012-12-27 08:22:30+00:00,Ghana,452,30,16126,http://pbs.twimg.com/profile_images/444601559503343616/TumxJIyj_normal.jpeg,https://pbs.twimg.com/profile_banners/1039140787/1394836226,
4715,632738995,Tolu_Erogbogbo,Senator Eros,2012-07-11 09:05:20+00:00,"Lagos, Nigeria",19726,15862,12226,http://pbs.twimg.com/profile_images/1345026685687767041/OxGn4VVT_normal.jpg,https://pbs.twimg.com/profile_banners/632738995/1609514326,
8850,902138712,HaCoupleth1,Ha Coupleth,2012-10-24 16:25:29+00:00,"Minna, Nigeria",173,425,15431,http://pbs.twimg.com/profile_images/833479143643873280/mrCotZeh_normal.jpg,https://pbs.twimg.com/profile_banners/902138712/1385583158,
