,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
13326,181264676,sadandhaunted,Party Poison ( ͡° ͜ʖ ͡°),2010-08-21 18:59:06+00:00,Derinkuyu,256,1169,33823,http://pbs.twimg.com/profile_images/1207520030147194880/ZhCUGQXe_normal.jpg,https://pbs.twimg.com/profile_banners/181264676/1576730005,
23646,1267126856,NeilBes12,sup bb,2013-03-14 13:52:43+00:00,ill city,882,813,43939,http://pbs.twimg.com/profile_images/1350535663125467139/uTfmGwZj_normal.jpg,https://pbs.twimg.com/profile_banners/1267126856/1592019423,
61715,1453080768,megan_craig23,Megan Craig,2013-05-24 03:16:21+00:00,"Atlanta, Georgia",133,146,3082,http://pbs.twimg.com/profile_images/1349520434514063360/bSg8lqQI_normal.jpg,https://pbs.twimg.com/profile_banners/1453080768/1587238161,
81030,903590071,prsfaith,⬇️🐰🕳️,2012-10-25 09:48:59+00:00,,289,102,1673,http://pbs.twimg.com/profile_images/1364540596656828421/Gt3Xnfnn_normal.jpg,,
84208,1079001960743751680,builinhhh,rachel,2018-12-29 13:11:29+00:00,,40,174,1575,http://pbs.twimg.com/profile_images/1367514911773847556/qfF9PV1e_normal.jpg,https://pbs.twimg.com/profile_banners/1079001960743751680/1614875937,
