,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
7429,1044896652232777730,truongwfaan,Ân,2018-09-26 10:29:09+00:00,"Ho Chi Minh, Vietnam",8,92,112,http://pbs.twimg.com/profile_images/1044897039564197888/ZyH4cS36_normal.jpg,https://pbs.twimg.com/profile_banners/1044896652232777730/1537957870,
12529,270550304,bobby_avaritt,bobby avaritt,2011-03-22 20:42:02+00:00,"Greenbrier, Tennessee",49,77,328,http://pbs.twimg.com/profile_images/378800000530794297/fd3ff9e5d55a0c8305f3ec3c78841e2a_normal.jpeg,https://pbs.twimg.com/profile_banners/270550304/1380661383,
12740,767637037864325120,saba11_11,Zephyr,2016-08-22 08:18:26+00:00,Rainbowland,155,164,5375,http://pbs.twimg.com/profile_images/1323666836991475712/trme3u8x_normal.jpg,https://pbs.twimg.com/profile_banners/767637037864325120/1508152314,
20372,173856094,ShyTalkative,Beverly,2010-08-02 14:46:30+00:00,"Atlanta, Georgia",2467,312,231324,http://pbs.twimg.com/profile_images/1326372197871575040/CtCCTman_normal.jpg,https://pbs.twimg.com/profile_banners/173856094/1603671281,
38752,1174748231928045569,sideris_loukas,Loukas Sideris,2019-09-19 18:13:18+00:00,Edenoi,0,16,10,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
101459,188172236,craudad,Cody Craudell,2010-09-08 02:35:10+00:00,,6,48,12,http://pbs.twimg.com/profile_images/483799130758586368/ssF946AR_normal.jpeg,,
103106,1103371225148084224,Abrakadaverz,Paolo C,2019-03-06 19:06:14+00:00,,29,150,678,http://pbs.twimg.com/profile_images/1103371912921731073/9arYtNIH_normal.jpg,https://pbs.twimg.com/profile_banners/1103371225148084224/1551904907,
104546,2486883604,BWebster21,Pommom21,2014-04-15 16:14:45+00:00,Toledo. Ohio,21,244,1121,http://pbs.twimg.com/profile_images/1279845251050622978/YYSCPaMj_normal.jpg,https://pbs.twimg.com/profile_banners/2486883604/1504979577,
